Chenal;Louis;test;23 rue des frenes 75003 Paris;613424305;surplace;scooter;0
Tardi;Jules;test;10 rue Timbaud 92000 Courbevoie;123456;enconges;scooter;0
Vilain;Gae;test;11 rue Villens 78000 Versailles;789011;enlivraison;trotinette;0
t;t;a;t;06123456;surplace;velo;0
zejbfzjb;jzefbueb;x;jzebfu@gmail.com;8233246286;surplace;scooter;0
jabuebufebuf;jzebfbb;x;ujbzefrzeyb;0897656465;surplace;scooter;0
jergbreug;jebngjre;x;uezgfbuzbef;07865645432;surplace;trotinette;0
jezbfubr;krenfrien;x;jbuurgbue;0786956463;surplace;scooter;0
t1;t1;x;t1;0102013101;surplace;scooter;0
test;test;x;test;1234567823;surplace;scooter;0
test;test;x;test;1232131231;surplace;velo;0
a;a;c;a;1111111111;surplace;scooter;0
v;v;v;v;0102031314;surplace;scooter;0
